TimeStamp,ask1,bid1,VWAP
20230706135545400,6.65,6.65,6.648212127894157
20230706135545410,6.65,6.65,6.648212127894157
20230706135546090,6.65,6.65,6.648212127894157
20230706135548010,6.65,6.65,6.6482173242230544
20230706135548370,6.65,6.65,6.6482173242230544
20230706135550960,6.65,6.65,6.6482173242230544
20230706135551300,6.65,6.65,6.6482173242230544
20230706135551460,6.65,6.65,6.648219549818983
20230706135602350,6.65,6.65,6.648219549818983
20230706135604230,6.65,6.65,6.648219549818983
20230706135604240,6.65,6.65,6.648219549818983
20230706135604990,6.65,6.65,6.648219549818983
20230706135607070,6.65,6.65,6.648219549818983
20230706135607080,6.65,6.65,6.648219549818983
20230706135610440,6.65,6.65,6.648219549818983
20230706135612970,6.65,6.65,6.648219549818983
20230706135613020,6.65,6.65,6.648219549818983
20230706135613230,6.65,6.65,6.648219549818983
20230706135615970,6.65,6.65,6.648219549818983
20230706135616060,6.65,6.65,6.648219549818983
20230706135618510,6.65,6.65,6.648219549818983
20230706135620570,6.65,6.65,6.648219549818983
20230706135620630,6.65,6.65,6.648219549818983
20230706135621430,6.65,6.65,6.648219549818983
20230706135624160,6.65,6.65,6.648219549818983
20230706135624190,6.65,6.65,6.648219549818983
20230706135624210,6.65,6.65,6.648237228043928
20230706135629070,6.65,6.65,6.648240037205327
20230706135632010,6.65,6.65,6.648240037205327
20230706135632190,6.65,6.65,6.648240037205327
20230706135634560,6.65,6.65,6.648240037205327
20230706135642330,6.65,6.65,6.648240413192503
20230706135642410,6.65,6.65,6.648240413192503
20230706135645400,6.65,6.65,6.648240413192503
20230706135650920,6.65,6.65,6.648240413192503
20230706135653160,6.65,6.65,6.648240413192503
20230706135656670,6.65,6.65,6.648240413192503
20230706135658230,6.65,6.65,6.648240435304393
20230706135659400,6.65,6.65,6.648240435304393
20230706135704360,6.65,6.65,6.648240435304393
20230706135704480,6.65,6.65,6.648240435304393
20230706135706610,6.65,6.65,6.648240435304393
20230706135712390,6.65,6.65,6.648240435304393
20230706135712620,6.65,6.65,6.648240435304393
20230706135712630,6.65,6.65,6.648240435304393
20230706135714580,6.65,6.65,6.648242843412548
20230706135715210,6.65,6.65,6.648242843412548
20230706135718080,6.65,6.65,6.648242843412548
20230706135720390,6.65,6.65,6.648242843412548
20230706135722550,6.65,6.65,6.648249781834847
20230706135726400,6.66,6.65,6.648250667001475
20230706135728200,6.66,6.65,6.648250667001475
20230706135728760,6.66,6.65,6.648250667001475
20230706135730660,6.66,6.65,6.648250667001475
20230706135730980,6.66,6.65,6.648250667001475
20230706135731080,6.66,6.65,6.648250667001475
20230706135731440,6.66,6.65,6.648250667001475
20230706135731490,6.66,6.65,6.648250667001475
20230706135731510,6.66,6.65,6.648250667001475
20230706135735980,6.66,6.65,6.648250667001475
20230706135735990,6.66,6.65,6.648250667001475
20230706135736000,6.66,6.65,6.648286257893716
20230706135736010,6.66,6.65,6.6482865511349765
20230706135736020,6.66,6.65,6.648286844361556
20230706135736040,6.66,6.65,6.648287870538983
20230706135736390,6.66,6.65,6.648288456845359
20230706135736430,6.66,6.65,6.648288456845359
20230706135736800,6.66,6.65,6.648288456845359
20230706135736910,6.66,6.65,6.648288456845359
20230706135737070,6.66,6.65,6.648288456845359
20230706135737100,6.66,6.65,6.648288456845359
20230706135739370,6.66,6.65,6.648288456845359
20230706135739500,6.66,6.65,6.648290654971565
20230706135739510,6.66,6.65,6.64829182696819
20230706135739830,6.66,6.65,6.64829182696819
20230706135742380,6.66,6.65,6.648292998730226
20230706135744240,6.66,6.65,6.648292998730226
20230706135747070,6.66,6.65,6.648293084144885
20230706135752160,6.66,6.65,6.648293084144885
20230706135755290,6.66,6.65,6.648293084144885
20230706135758080,6.66,6.65,6.648293084144885
20230706135758770,6.66,6.65,6.648293084144885
20230706135800470,6.66,6.65,6.648293084144885
20230706135800640,6.66,6.65,6.648294255605241
20230706135800740,6.66,6.65,6.648294255605241
