SecurityID,TransactTime,OrderNo,Price,Balance,OrderBSFlag,OrdType,OrderIndex,ChannelNo,BizIndex
600000,20230228091503190,43158,7.130,100,B,A,37610,5,43181
600000,20230228091503190,43523,7.770,1000,S,A,37611,5,43182
600000,20230228091503190,43532,6.450,1000,B,A,37612,5,43183
600000,20230228091503310,44160,7.210,5000,S,A,37613,5,43184
600000,20230228091503310,44407,7.400,5000,S,A,37614,5,43185
600000,20230228091503310,44411,7.050,5000,B,A,37615,5,43186
600000,20230228091503310,44416,6.950,5000,B,A,37616,5,43187
600000,20230228091503310,44436,7.370,1500,S,A,37617,5,43188
600000,20230228091503310,44632,7.040,500,B,A,37618,5,43189
600000,20230228091503310,44642,7.280,7000,S,A,37619,5,43190
600000,20230228091503310,44650,7.500,500,S,A,37620,5,43191
600000,20230228091503310,44657,7.130,3000,B,A,37621,5,43192
600000,20230228091503310,44909,7.110,100,B,A,37622,5,43193
600000,20230228091503310,45019,7.800,20000,S,A,37623,5,43194
600000,20230228091503310,45020,7.700,20000,S,A,37624,5,43195
600000,20230228091503310,45196,7.600,20000,S,A,37625,5,43196
600000,20230228091503310,45198,7.500,10000,S,A,37626,5,43197
600000,20230228091503310,45200,7.130,1000,B,A,37627,5,43198
600000,20230228091503310,45201,7.030,1000,B,A,37628,5,43199
600000,20230228091503310,45707,7.100,5000,B,A,37629,5,43200
600000,20230228091503310,45708,7.000,5400,B,A,37630,5,43201
600000,20230228091503310,45940,6.930,1000,B,A,37631,5,43202
600000,20230228091503310,45941,6.830,1000,B,A,37632,5,43203
600000,20230228091503310,45944,7.350,1000,S,A,37633,5,43204
600000,20230228091503310,45948,7.450,1000,S,A,37634,5,43205
600000,20230228091503310,45949,7.550,1000,S,A,37635,5,43206
600000,20230228091503310,45950,7.650,1000,S,A,37636,5,43207
600000,20230228091503310,45951,7.750,1000,S,A,37637,5,43208
600000,20230228091503310,45956,7.850,1000,S,A,37638,5,43209
600000,20230228091503480,45980,6.710,200,B,A,37639,5,43210
600000,20230228091503480,46202,7.010,500,B,A,37640,5,43211
600000,20230228091503480,46261,7.180,3200,B,A,37641,5,43212
